(00:00) おはようございます。ご上世ドラの
(02:03) バックとか、ま、リュックですね。あと
(02:06) あと、ま、スーツとか、ま、秋も近いから
(02:09) ちょっとライトアウターとか、ま、そこら
(02:12) 辺も見れたらいいかなと思ってます。ま、
(02:14) 早速ちょっと行ってみたいなと思いますが
(02:17) 、こ利ね、高回転、小さいもの取れたら
(02:20) いいかなと思ってます。て感じでやって
(02:23) いきたいと思います。ちょっと暑いんで
(02:25) 早速中へ行っていきたいと思います。おお
(02:28) 。
(02:29) はい。1店舗目はトレファクスタイルに
(02:32) やってきました。ここの店舗はですね、
(02:35) 利益商品が結構眠ってることが多くて
(02:39) お気に入りの店舗なので早速利益商品
(02:42) 見つけてやっていきたいと思います。はい
(02:44) 、まずは加護を持ってスタートしていき
(02:47) ます。いらっしゃいませ。とりあえず僕は
(02:50) いつも超ケースから攻めることが多いので
(02:53) 、まずはシケースから見ていきます。
(02:56) シケースの根付気が甘かったり厳しかっ
(02:59) たりでこの店舗全体の寝付けのレベルと
(03:03) いうかねいうのが分かる気がするので僕は
(03:06) 大体シケースを見ていきます。皆さんも
(03:09) 是非シーケースから見てってください。
(03:12) はい、まずは財布から見ていきます。はい
(03:14) 、こちらのグッの財布に反応しました。
(03:18) 反応ポイントとしてはこの2つ折りの財布
(03:21) ってところですね。今長財布に比べて2
(03:24) つ折りとか5折りの財布の方が需要が高く
(03:28) なってます。あとはこのGGマーモントっ
(03:31) ていうGGのロゴですね。こちらが
(03:33) しっかり目立っている点っていうところと
(03:36) 後ろのこの布っぽい生地のキャンバス生地
(03:39) って言うんですけどこちらにGGのマーク
(03:41) がしっかり目立っているってところが反応
(03:44) ポイントです。ブランド全体の話なんです
(03:46) けどブランドのロゴだったり、え、柄って
(03:49) いうのがパっと見目立っていると高く
(03:51) 売れる要素になりますので皆さん覚える
(03:54) ようにしてください。やっぱブランド持つ
(03:56) 人ってどんなブランドを持っているかって
(03:59) ところをみんなに知ってもらいたいって
(04:02) いう気持ちが強いんじゃないかな。ま、
(04:04) 偏見なんですけど、ま、そこがあると思う
(04:07) ので、今回だったらこのGGマーモのロゴ
(04:10) だったりとか、ま、そういうのがしっかり
(04:12) 、え、目立ってるってところは高く取引さ
(04:14) れる要素の、え、1つだと思います。あと
(04:17) 状態が低度ABってところで、これ状態の
(04:20) ランクの度合なんですけど、1番上がS
(04:23) でして、ま、1番下が、ま、Cかな、ま、
(04:25) Dとかかな。ま、あんまり見ないんです
(04:27) けど、程度ABっていうのはかなり上の方
(04:29) ですね。てところなんで、え、状態は
(04:32) めちゃくちゃいいんじゃないかなと思い
(04:33) ます。で、あと箱と保存袋付きってところ
(04:37) で、こちらね、箱とか保存袋が付いてると
(04:40) メルカリにおいては高値で取引される価値
(04:44) となりますので、皆さん箱とか保存袋付い
(04:47) てたらラッキーだと思ってください。
(04:49) こちら実際に売れてたデータとしては、
(04:52) えっと、5万6500円と、えっと、
(04:54) 6万3526円
(04:56) って2つ売れてたんですね。で、
(04:58) 5万6500円に関してはもう7日以内で
(05:01) 売れてるんですね。めちゃくちゃ早く
(05:04) 売れる財布だっていうのがこちらから
(05:06) 分かります。で、こちらなんですが、
(05:08) 先ほど店員さんに状態を見せてもらった
(05:11) ところ、めちゃくちゃ状態が綺麗で程度
(05:13) ABどころか程度Sぐらいあるんじゃない
(05:16) かなってところで速攻で、え、仕入れを
(05:18) 決めました。はい。で、こちら計算すると
(05:22) 、え、配送量が450円。卓急便
(05:24) コンパクトで送れますので、え、配送量
(05:26) 安いですよね。はい。ところで、え、利益
(05:29) が1万1900円
(05:31) 、え、出る計算になります。こちらなん
(05:33) ですか?大体6万円ぐらいから出して、ま
(05:35) 、100円値下げとかもありますし、
(05:38) 値下げ交渉も言われると思うので、大体
(05:41) そこら辺を考慮して6万円ぐらいから出品
(05:43) したいと思います。こちらなんですが、実
(05:46) は5日間で売れました。ありがとうござい
(05:48) ます。はい、次参ります。またまた財布に
(05:52) 反応しました。こちらはステラマカートの
(05:55) 2つ折り財布でございます。こちらのこの
(05:58) ステラマカートに代表的なモデルというか
(06:02) 形というか、このチェーンが目立ってると
(06:04) 思うんですけど、これが財布だったりとか
(06:06) バックだったりとかもあるんですけど、
(06:08) こちらが代表的な形でして、反応ポイント
(06:10) としましてはチェーンと黒の財布って
(06:13) ところとあと2つ折り財布ってところに
(06:15) 反応しました。こちら程度Bなので状態を
(06:18) 確認する必要があるんですけれど、店員
(06:20) さんに状態を確認したところそこまで悪く
(06:23) なくて目立った傷汚れなしで出せそうな
(06:26) 感じでした。こちらなんですけど、実際に
(06:29) 売れてるデータとしては1万1000円
(06:31) ってところと1万3900円で売れてる
(06:34) データがありました。1万3900円の方
(06:37) に関しては3日内で売れてます。こちらな
(06:41) んですけど、箱とか、ま、保証書が付い
(06:43) てるので、ま、そこまでは高く売れない
(06:46) だろうってところなんですけど、大体
(06:48) 1万3000円ぐらいだから100円
(06:50) 値下げとか値段交渉を考慮して
(06:53) 1万3000円くらいから出して
(06:55) 1万1000円ぐらいで売れてくれたら
(06:57) いいかなと思って仕入れまして、大体
(07:00) 1万1000円で売れた場合は大体利益と
(07:03) しては5290円。この財布で5000円
(07:06) ぐらいの、え、利益が出せればかなりいい
(07:08) んじゃないかなと仕入れました。こちらも
(07:11) 実は妖怪内で売れていきました。
(07:14) ありがとうございます。財布はやっぱり
(07:16) 配送量がツモ安くて、ま、箱があったら
(07:18) 大体卓球便コンパクト450円ぐらいなん
(07:21) ですけど、箱がなかったらプチプチとか
(07:23) 巻いたり、OPP袋で入れたりして防水
(07:27) 効果とかしっかりやっていけば猫の
(07:29) 210円で送れるので、めちゃくちゃ安く
(07:32) 送れるのでおすすめです。
(07:34) はい、次は時計を見ていきまして、え、
(07:38) こちらのイルビゾンテの時計なんですけど
(07:41) 、ま、こちらちょっと利益賞金ではないん
(07:43) ですけど、ま、意外な商品だったんで
(07:45) ちょっと紹介していきます。イルビンテっ
(07:47) てご存知の方いると思うんですけど、皮革
(07:50) 皮製品が有名なブランドなんですね。川
(07:53) 製品以外にもこうやって時計だったりとか
(07:55) 作っている、例えばニューバランスとか皆
(07:58) さんご存知だと思うんですけど、ニュー
(08:00) バランスって靴のイメージがあるじゃない
(08:03) ですか。こう運動グッズとかでもニュー
(08:06) バランスって実は川のジャケットとかも
(08:08) 作ってたりするんですよ。皆さん多分知ら
(08:10) ないと思うんですけど、僕も最初の頃知ら
(08:12) なかったんですけど、ま、こういった感じ
(08:14) でブランドイコール何々っていうイメージ
(08:17) がついてる以外のものを狙っていくとこれ
(08:20) が穴葉だったりするので皆さんも固定概念
(08:24) とかま、そういう感に囚われずに調べてみ
(08:27) たりすると穴場の利益が取れる商品って
(08:30) いうのが見つかるので皆さんちょっと頭の
(08:32) 片隅に入れといてくれると嬉しいです。
(08:35) こんな感じでちょっと仕入れがちょっと
(08:37) 高かったんで白になってしまうので今回
(08:39) 仕入れませんが紹介しました。はい、
(08:42) ちょっと次行きます。
(08:45) 次は靴エリアを見ていきたいと思います。
(08:48) ずらっとありますね。靴はリサーチし
(08:50) やすいので僕は結構大好きでよく見てます
(08:53) 。ま、ワンピースとか服とかに比べて手に
(08:56) とって状態だったりとかが分かりやすいっ
(08:59) ていうのが特徴的ですね。じゃあ早速見て
(09:02) いきます。はい。こちらの厚底の靴なん
(09:05) ですけど、こちらブランドマニっていう
(09:07) ブランドでして、え、マルニは靴に限らず
(09:09) 、えっと、バッグだったりとか財布って
(09:12) ところで結構幅広い層から人気のブランド
(09:15) でございます。で、マルニはメルカリでは
(09:18) 結構人気でして、もう本当に高く売買され
(09:21) てることがありますので、皆さんマル2を
(09:24) 見つけたら反応するようにしてください。
(09:26) 今回ちょっとリサーチしたんですけど、
(09:29) 仕入れネが高かったのでやめたいと思い
(09:31) ます。松コっていうのは高く売れる要素で
(09:35) ございますので不用チェックでございます
(09:37) 。続いてなんですがこの黒コの片押しの
(09:40) ランプスですね。こういう柄もねすごいま
(09:43) 、高く売れる様子ですので用チェックです
(09:45) 。こちらの茶色の黒コの柄も高値要素です
(09:50) 。こちらの夏底サンダルなんですが、
(09:54) ちょっとシレ高かったです。こちらも
(09:57) ドクターマンチンのサンダルなんですけど
(09:59) 、ソウルの部分がギザギザになってるのを
(10:02) シャークソールって言うんですけど、こう
(10:04) いうのも高く売れる要素の1つですので、
(10:07) 皆さん靴背取りをしたいって人は是非覚え
(10:10) といてください。どんどんいきたいと思い
(10:12) ます。靴は見てて楽しいですよね。
(10:15) いろんな種類がありますしね。
(10:19) はい。ちょっと靴を見ていたんですが、
(10:22) ちょっと気になる、え、バッグがあったの
(10:24) で、そっちにちょっと浮気します。はい。
(10:27) ハンターの、え、バッグでございます。
(10:31) こちらギルディングっていうね、柄が
(10:33) とても印象的だったので反応しました。
(10:37) こちらちょっとハンドバックと思いきや中
(10:40) を見ると付いてまってことで、こう2
(10:43) ウェイ確定です。え、2ウェイっていうの
(10:45) はハンドバックと、え、ショルダーバック
(10:48) というような2つの持ち方ができるよって
(10:51) いうのが2ウェイでございます。2ウェイ
(10:54) は高く売れる要素の1つとなってますので
(10:56) 、皆さん要チェックでございます。
(10:59) キルディング黒2でもう高く売れる要素
(11:03) もりもリの商品でございますので即
(11:05) リサーチ対象になりました。こちらの
(11:09) ハンターのバックなんですが、
(11:11) 1万4250円
(11:13) で売れてる実がございました。で、あと
(11:16) 1万200円でも売れてる、実際に売れ
(11:18) てるデータがございました。で、どちらも
(11:21) なんですが6日で売れてます。即売れし
(11:23) てる商品でございますので仕入れていき
(11:26) たいと思います。で、こちらなんですが
(11:30) とても良くて、本当に目立った傷、汚れ
(11:33) なしどころか未用に近いレベルで出せると
(11:36) 思うので、強気で1万7000円ぐらい
(11:38) から出して着地1万5000円だったりと
(11:41) か1万4500円
(11:43) ぐらいで売れてくれたらいいかなと思って
(11:45) 入れていきます。で、こちらの商品なん
(11:48) ですが2週間ほどで1万5000円で売れ
(11:50) ていきました。ラッキーです。ありがとう
(11:52) ございます。はい、またまた靴エリアに
(11:55) やってきました。こちらレディの靴ですね
(11:58) 。レディの靴もかなり回転よく売れてくの
(12:01) で用チェックレスラーとありますね。
(12:05) こちらのサンダルに反応しました。皆さん
(12:08) 大好きマキのエアリフトでございます。
(12:11) 履いてる人見たことありませんか?結構
(12:13) 履いてる人多いかなっていう印象なんです
(12:15) けど。こちら反応ポイントとしてはこの
(12:18) メッシュの部分ですね。メッシュでかつ
(12:20) 軽量ですね。黒、え、状態がいいって
(12:23) ところが、え、反応ポイントでした。あと
(12:26) 24cmっていうのがゴールデンサイズ
(12:28) ですね。23.5から、ま、24cm、
(12:31) 24.5ってところが、え、女性の
(12:33) ゴールデンサイズになってますので、
(12:35) 24cmはめちゃくちゃ早く売れていくと
(12:38) 思います。で、こちらなんですが
(12:40) 4400円で売られてまして、実際に
(12:43) メルカリで売れてるデータが8300円で
(12:46) ありましたね。で、こちら6時間で揺れ
(12:48) てる商品でなってます。びっくりです。
(12:51) こちらなんですが、ま、早く売り売り切っ
(12:54) ていきたいので、9000円ぐらいから
(12:56) 出して8000円だったりとかで売れて
(12:58) くれたらいいかなと思って仕入れていき
(13:01) たいと思います。こちら、え、8300円
(13:04) で売れたとしたら、ま、大体2800円
(13:07) ぐらいの利益が出る見込みになってます。
(13:10) はい。状態もめちゃくちゃいいので、え、
(13:13) 仕入れていきたいと思います。こちらも
(13:15) 売れてくれました。はい、ありがとう
(13:17) ございます。はい、続いては下の段にあっ
(13:21) たまたエアリフトでございます。白のエア
(13:24) リフトは黒に比べるとそんなに高値で売れ
(13:28) るってことはないんですが、ま、状態も
(13:30) そこそこいいですし、24cmで
(13:33) 4400円の仕入れ同じ人売ったですよね
(13:36) 。売りましたよね、きっとね。ま、そう
(13:39) いうことよく、ま、店舗だとあるあるなん
(13:42) で、あの、皆さん要チェックです。で、
(13:44) ちょっとこのつ先の部分がちょっと汚れ
(13:47) ちゃってるので簡単な、ま、リペアほど
(13:49) じゃないんですけど、ま、クリーニングし
(13:51) てあげれば落ちますので、こういう
(13:54) クリーニングっていうのを僕の公式欄に
(13:57) 追加してくれたらプレゼントで皆さんにお
(13:59) 配りしてますので、実際に僕が使ってる
(14:02) ものを皆さんに、お届けできればいいか
(14:05) なって思う思ってるので、気になるよって
(14:08) 方は追加して受け取ってみてください。
(14:13) 一応なんですが7300円で売れてる
(14:15) データがございまして、仕入れが
(14:18) 4400円で、え、配送量が、ま、大体
(14:20) これ薄いんでパケットポストとかでも
(14:23) いけるかなって思ってます。大体利益が
(14:26) 1955円
(14:28) って感じで2000円近く出ますね。回転
(14:30) がいいと思うので、ま、多少ですが、
(14:33) 仕入れていきたいと思います。レアリフト
(14:35) 最高でございます。
(14:38) メンズの靴エリアですね。スニーカーが
(14:40) ずらっと並んでますね。で、メンツに関し
(14:43) ては状態はそこまで、え、気にしなくて
(14:46) いいかなっていう印象です。早速なんです
(14:49) が、みんな大好きシリーズですね。こちら
(14:51) 、え、リボクインスタンプヒュリーって
(14:55) やつですね。反応ポイントとしましては
(14:57) この形ですね。Evo君代表的な靴の形
(15:01) 状態のがめちゃくちゃいいってところと
(15:03) ブラックってところですね。こちらに反応
(15:06) しました。結構ごつい3つめしてるんです
(15:08) けど、結構軽量でして、軽量っていうのも
(15:11) 高く売れる要素の1つでございます。なん
(15:14) としてでもですね、こちら状態がかなり
(15:16) いいですよね。もう未用に近いで出せる
(15:19) レベルだと思います。裏もかなり綺麗です
(15:23) ね。こちら仕ですけど5500円で、え、
(15:26) サイズが28.5cmってところで、ま、
(15:29) 28.5cmも男性の方だったら、え、
(15:32) 問題なく売れていきますので、仕入れて
(15:34) いきたいと思います。過去に実際寄れてい
(15:37) たデータとしてえ同じサイズで、同じ色、
(15:40) ま、全部一緒ですね。ものが5ヶ月前に
(15:43) 9999円
(15:45) で売られていました。なので、ま、こちら
(15:47) 計算すると配送量が80サイズ850円
(15:51) ですねかかるので、え、大体利益が
(15:53) 2649円
(15:55) になります。人気商品ですので早く売れて
(15:58) いくと思いますので、仕入れていきたいと
(16:00) 思います。こちらも売れてくれました。
(16:03) はい、ありがとうございます。
(16:06) [音楽]
(16:07) はい、続いてバックエリアにやってきまし
(16:10) た。はい、こちらの代表的なロゴ皆さんお
(16:14) 分かりですか?はい、アークテリクスで
(16:16) ございます。アークテリックスはすごい
(16:19) なんかナスカの地上へみたいなロゴなん
(16:21) ですけど、こちらは人気でございまして、
(16:24) ま、メンズの方に人気ですね。すごい。ま
(16:26) 、今発売されてるモデルであればこのロゴ
(16:29) の下にアークテリクスって書いてあるん
(16:31) ですけど、今回の場合って書いてないじゃ
(16:33) ないですか。こ
(16:34) れっていうのは昔のモデルで配盤
(16:37) モデルなってます。だからこそ
(16:39) メルカリでは高く売れてまして僕もういうタイプのアークテリクスをもうバンバン売ってきたがなのでクテリクスは高値で売れるっていうのが頭の中に入ってたので反応できました。前の方のクテリクスに関してなんですけども悪くてですね。もう焼けちゃってますね。
(16:44) [音楽]
(16:59) 背中の部分とか全体的にちょっと状態が
(17:02) 悪いかなって感じで、え、シレネに関して
(17:05) は6600円
(17:07) ですね。安いんですけど悪いのでちょっと
(17:10) スルーしていきたいと思います。
(17:14) で、こちらのアークテリクスに関しては
(17:16) シレネが8800円でこのアークテリクス
(17:20) なんですけど撥水効果、え、水を弾く効果
(17:24) が施されてましてそれも高く売れる要素の
(17:27) 1つになってます。じゃ、状態は結構いい
(17:30) ですね。内部汚れありって書いてあった
(17:32) んですけど、ほとんど汚れないですね。
(17:34) 表面がちょっと汚れてたので、こういうの
(17:36) はクリーニングで軽く拭いてあげたりとか
(17:39) してあげればなんなく未用に近いっていう
(17:42) 形で出せるかなと思います。これぐらいの
(17:45) 汚れだったら全然取れます。これはアロー
(17:47) 8っていうモデルでして、かなり人気の
(17:50) モデルですね。え、こちら実際に売れてる
(17:53) データがありまして、こちらなんですけど
(17:55) 2万2000円で1日前にぐれてますね。
(17:58) なんとしかも目立った傷汚れなしで
(18:00) 2万2000円ですね。こちらのアロー8
(18:03) よりも今店舗にある方が状態が綺麗そうな
(18:06) ので、ま、2000円以上で売れる可能性
(18:09) はあります。調べた感じ計算してみますと
(18:14) 2万2000円で売れたとして、えっと
(18:16) 仕入れが8800円ですね。送量が80
(18:19) サイズで遅れますので850円で、え、
(18:22) 計算すると利益が1万150円です。これ
(18:26) だけで1万1万円超えますね。次撃1万
(18:29) 超え、え、嬉しいです。はい。やっぱここ
(18:32) の店舗は結構利益が出ますね。毎度
(18:35) ワクワクさせてくれる店舗でございます。
(18:38) 皆さんちょっとアークテリクス覚えといて
(18:40) ください。このリュック型だったりとかも
(18:42) ありますので、そっちの方が王道かな皆
(18:44) さん覚えといてもらえるとすぐ反応できる
(18:47) と思います。では仕入れていきます。
(18:49) こちら実は2週間ほどで植えていきました
(18:51) 。ありがとうございます。
(18:55) ヒレ終わりました。結構買いましたね。
(18:58) 合計7点でございます。7点結構買った
(19:02) なって感じですね。最後のあの
(19:04) ショーケースのグッチの財布だったりとか
(19:07) あのストレマカートにの財布結構状態
(19:09) 良かったんで、ま、本当にグッズの財布に
(19:12) 関してはもう新剣に仕様で出せるぐらいの
(19:15) クオリティだったんでもうき結構な利益
(19:18) 取れると思います。で、えっと、7点で
(19:20) 大体見込み利益が、ま、4万から、まあ
(19:23) 5万とか取れるかなっていう印象です。で
(19:27) 4万から5万取れるなら結構なものだと
(19:30) 思いますんで、最後1店舗行ってそこでも
(19:33) あの利益5万とかあの出せたら1日で
(19:36) 10万ぐらい利益出る計算になりますので
(19:39) そうなるとかなりいいんじゃないかなと
(19:41) 思います。それでは2店舗目も行っていき
(19:44) たいと思います。
(19:49) 2店舗目やってきました。いやあですね。
(19:53) すごいね。中には気をつけたいところなん
(19:56) ですが、2店舗目もうあの4万とか5万と
(20:00) か利益それまもっとそれ以上狙っていけ
(20:03) たらいいかなと思います。で、主にま、
(20:05) シケ数を最初に攻めてからそこから、ま、
(20:09) リュックだったりとかバックだったりとか
(20:11) 、あとは、ま、靴、ま、そこら辺が僕は
(20:14) 得意なので、そこら辺をね、重点的にあの
(20:17) 攻めていけたらいいかなと思います。て
(20:19) いう感じでちょっと行ってきたいと思い
(20:21) ます。レッツゴー。
(20:24) [音楽]
(20:26) はい、2.3分で利益商品見つけました。
(20:30) こちらはダイヤのシンプルグーティーで
(20:33) ございます。反応ポイントとしてはこの
(20:36) サイズ24cmゴールデンサイズですね。
(20:39) ところとま、ダイアナっていうブランド力
(20:42) ってところとレザーかつブラックっていう
(20:45) ところに反応しました。あとサイドジップ
(20:47) 。これ横にジップが付いてるじゃないです
(20:49) か。こういうのサイドジップって言うん
(20:51) ですけどこれも高値要素の1つになって
(20:53) ます。状態がかなり良くてですね、もう
(20:55) ほとんど使用してないのかなっていう感じ
(20:58) で、ま、ちょっと吐き地は若干あるんです
(20:59) けど、未用に近い、ま、目立った傷汚れで
(21:02) 出せるかなっていう感じですね。こちら
(21:05) 実際に売れてるデータがありまして、
(21:07) 1万5500円で売れてますね。サイズも
(21:10) 24cm一緒ですね。はい。で、こちらな
(21:13) んですけど、販売価格が1万5500円で
(21:16) 減価なし入れ値が5500円で配送量が
(21:20) これ、このサイズだったら750円の便
(21:23) 60サイズで遅れますので、え、計算する
(21:26) と利益は7700円ですね。こちらで1発
(21:30) で7700円。ま、実際に売れてるデータ
(21:32) が1回のみって感じだったので、これより
(21:35) ちょっと落ちるかなってところで置いても
(21:37) 1万5000円だったりとか
(21:39) 1万4500円で、ま、売れると思うので
(21:42) 仕入れね5500円を下回
(21:44) るっていうことは絶対ないと思うので
(21:46) 仕入れていきたいと思います。こういう
(21:48) ショートブーツはどんどん仕入れちゃって
(21:50) 、ま、秋とか冬とかに向けて皆さん
(21:52) メリカリで買ったりする人も多いので、今
(21:55) のうちから、え、仕入れちゃっていいかな
(21:57) と思います。大いです。頑張っていきます
(21:59) 。はい、続いてはデニムを見ていきたいと
(22:03) 思います。デニムは僕結構得意なジャンル
(22:06) の1つでして、色の濃いものを、え、初心
(22:09) 者の方は狙うようにしてください。かつ
(22:12) 状態のいいもので、星の部分に、え、タグ
(22:15) が付いてる場合が多いんですけど、レザー
(22:17) になってることですね。レザー素材になっ
(22:19) てることていうところが、ま、高く売れる
(22:21) 要素の1つになってますので、是非参考に
(22:24) してってください。早速見ていくと濃い
(22:27) ものが4つほどですね、ありますね。
(22:29) えっと、こちらのラングラーなんですけど
(22:31) 、ここがもう新品未仕様ですね。タグが
(22:34) 付いてます。珍しいですね。シレネが
(22:37) 1万1000円でウェエストが33×34
(22:40) になってます。で、このウエストの33
(22:43) っていうのはすごい良くて、32以上だと
(22:46) 高く売れる回転率がいい商品になってます
(22:48) ので、是非皆さんデニムを選ぶ際は
(22:51) チェックしてみてください。こんな感じで
(22:53) 色々デニムがあるわけなんですが、この
(22:56) ラングラーは利益取れそうですね。筐体も
(22:58) いいですし、結構型番が13mwZPW
(23:03) って感じ。これ型番ですね。これを
(23:05) 打ち込んであげるとメルカリで同じものが
(23:08) 出てきますね。じゃ、早速調べていき
(23:10) ましょう。はい。こちらの商品なんですが
(23:13) 同じもので1万8000円で売られてます
(23:16) ね。しかもこちら6日以内で売れてい
(23:18) るって表記があるのでかなり早く売れたん
(23:21) だなっていうのが分かります。状態も本当
(23:23) にタグが付いてるんで新規で出せますし
(23:26) 1万8000円で売れてるってことで
(23:28) 仕入れは1万1000円ですのでもう
(23:30) 仕入れ確定でございます。こちら計算する
(23:33) と1万8000円で減価が1万1000円
(23:36) でハイソウルが百位60サイズですね。で
(23:39) 送って750円ですので利益は4450円
(23:43) です。販売する時はもうちょっと強気で
(23:45) 出しますので値段交渉っていうのを考慮し
(23:48) て2万2000円あたりから出して利益を
(23:50) 最大化できればいいかなと思います。もし
(23:52) かしたら2万円ぐらいで売れる
(23:54) ポテンシャルの商品でございますのでそこ
(23:57) ら辺も狙っていきたいと思います。実は
(23:59) この商品売れました。ありがとうござい
(24:01) ます。こちらの店舗も結構利益が取れるか
(24:04) なっていう感じでいい店舗でした。次行き
(24:06) ます。また靴エリアにやってきました。
(24:11) はい。こちら反応しました。こちらは
(24:13) スモローランドの、え、フラットシューズ
(24:15) でございます。反応したポイントとしまし
(24:17) ては黒レザーで状態がめちゃくちゃいいっ
(24:21) ていうところですね。こちらアーモンドっ
(24:23) て言います。アーモンドみたいなつ先し
(24:26) てるじゃないですか。というところが、
(24:27) えっと、高値の要素になってましてと、
(24:30) 状態が本当に綺麗ですね。かつ、えっと、
(24:32) 仕入レネも3300円でかなり安い。かつ
(24:35) サイズが37。37っていうのは23cm
(24:38) ぐらいですね、大体。で、23cmって
(24:40) いうのは女性の靴の中でも人気のある
(24:43) サイズでございますので、申し分ないと
(24:45) 思います。こちらなんですが実際に売れ
(24:48) てるデータがありまして、こちら、え、
(24:50) 7170円
(24:52) で、しかも4日以内で売れた商品って書い
(24:54) てあるので、かなり早く売れてった商品
(24:56) っていうのが分かります。しかもねった傷
(24:58) 汚れなしで7170円ですので、ま、未用
(25:02) に近いとかで出せたらもうちょっと値段
(25:04) 上がるんじゃないかなと思って期待も込め
(25:07) て仕入れていきたいと思います。大体
(25:09) 9000円とか、ま、9500円ですかね
(25:11) 。9500円から強気で出して、ま、
(25:14) 8500円とかで売れてくれたらいいか
(25:16) なっていう思いを込めて、え、仕入れて
(25:19) いきたいと思います。こういうレザーかつ
(25:22) 黒っていうのの靴っていうのはとても人気
(25:25) ですので皆さん覚えておいてください。
(25:27) こちら計算すると7170円で売れたとし
(25:31) て、ま、減価が3300円で配送量が
(25:34) 750円、卓急便60歳サイズでいけます
(25:37) ので計算すると2403円となってます。
(25:41) 回転もいいと思うので利益が2400円で
(25:44) も何かし入れていきたいと思います。
(25:48) はい。こちら利益商品じゃないんですけど
(25:51) 、同じがめちゃくちゃ並んでて面白かった
(25:54) ので取りました。はい。ま、ちょっと
(25:57) 面白かっただけじゃなくて、こう実はいい
(25:59) 高値要素があの入ってますので紹介して
(26:02) いきたいと思います。こちらのなんかこの
(26:04) ギザギザって言うんだ。なんだろう?こう
(26:06) いう素材あるじゃないですか。こういうの
(26:08) グルカサンダルって言うんですよ。グルカ
(26:10) サンダルっていうのは最近のトレンドでし
(26:12) て、これはメルカリ上ではよく売られてる
(26:15) サンダルの1つでございます。僕も今日
(26:18) ちょっと生えてて、グルカサンダルこんな
(26:20) 感じでグルカサンダル超人気なので皆さん
(26:23) 夏サンダルを仕入れる時は覚えといて
(26:25) ください。にしても全部一緒。どんな人が
(26:29) 売っていったんでしょうかね。気になる。
(26:30) これがま、ブラックでグルカサンダルだっ
(26:33) たらさらに高く売れたんじゃないかなって
(26:35) いう予想がつきます。皆さんグルカ
(26:37) サンダル覚えといてください。はい、次
(26:39) 行きます。
(26:42) またシケースに戻ってきまして、この柄皆
(26:45) さん見たことありますか?はい、これ
(26:46) ゴヤールの柄でございますね。ゴヤールっ
(26:49) てブランドの、え、代表的、代表的な、え
(26:51) 、柄でございます。外側の方は状態が
(26:54) 良かったので、もし未用に近いとかで
(26:57) 出せればかなりの利益額になりそうだった
(27:00) ので、今ちょっとチェックしてる最中なん
(27:03) ですけど、先ほど店員さんの方にこちら
(27:08) 見せてもらったんですけど、中の方が
(27:10) ちょっと汚れてまして、未用に近いで
(27:12) 出せるのはちょっと厳しいかなってところ
(27:14) だったのでスルーしました。俺ミシオに
(27:17) 近いだったらもう30万5000円で実際
(27:20) に売れてるデータがあったので変えたら
(27:22) ラッキーだったんですけどしました。
(27:24) ちなみにこの5ヤールのいろんな種類が
(27:26) あるんですけどその中でもアンジュって
(27:28) いうシリーズですね。このリバーシブルに
(27:30) なってます。後ろが黒になってて
